时间点,总请求数,卡顿率,⾸首帧加载时⻓长,错误率
2019-05-21T14:40,72,0.0,1394.5416,0.0
2019-05-21T14:45,552,0.036082473,1359.8914,0.0036231885
2019-05-21T14:50,1134,0.037087914,1395.4144,0.0
2019-05-21T14:55,2270,0.031528443,1349.2802,0.0026431717
2019-05-21T15:00,3802,0.042487953,1288.8843,0.003419253
2019-05-21T15:05,4698,0.044348508,1366.6016,0.0023414218
2019-05-21T15:10,5141,0.044935808,1309.9957,0.0033067497
2019-05-21T15:15,5575,0.055330634,1227.259,0.0041255606
2019-05-21T15:20,5715,0.04625347,1345.2062,0.005249344
2019-05-21T15:25,5660,0.046895213,1285.788,0.0026501766
2019-05-21T15:30,5836,0.063242376,1316.2585,0.0029129542
2019-05-21T15:35,5691,0.063402385,1281.1118,0.0052714814
2019-05-21T15:40,5763,0.06110422,1276.3988,0.0029498525
2019-05-21T15:45,5691,0.057371795,1274.0328,0.0050957655
2019-05-21T15:50,5666,0.053780966,1245.5194,0.0044122837
2019-05-21T15:55,5830,0.0621875,1282.1659,0.0051457975
2019-05-21T16:00,5900,0.055425905,1252.0348,0.0033898305
2019-05-21T16:05,5910,0.056609366,1293.5433,0.0042301184
2019-05-21T16:10,5910,0.056170214,1346.5864,0.003891709
2019-05-21T16:15,5688,0.056410257,1284.3463,0.0038677917
2019-05-21T16:20,5497,0.054399524,1289.2136,0.0050936877
2019-05-21T16:25,5721,0.06385579,1338.108,0.004195071
2019-05-21T16:30,5474,0.058517158,1332.5466,0.0040189987
2019-05-21T16:35,5484,0.06954059,1313.6984,0.0051057623
2019-05-21T16:40,5614,0.06280331,1388.1187,0.0058781616
2019-05-21T16:45,5692,0.06137952,1345.6632,0.003865074
2019-05-21T16:50,5639,0.06350131,1310.1465,0.003901401
2019-05-21T16:55,5546,0.055475295,1370.6619,0.0064911647
2019-05-21T17:00,5612,0.052242745,1364.022,0.004811119
2019-05-21T17:05,5631,0.06972362,1335.699,0.0033741787
2019-05-21T17:10,5751,0.06416772,1358.1864,0.003477656
2019-05-21T17:15,5725,0.05882353,1384.3372,0.00419214
2019-05-21T17:20,5682,0.057029925,1351.3721,0.0049278424
2019-05-21T17:25,5875,0.058364544,1341.5884,0.004255319
2019-05-21T17:30,6004,0.056041554,1342.513,0.0053297803
2019-05-21T17:35,5944,0.06611813,1391.774,0.0035329745
2019-05-21T17:40,6226,0.063570395,1402.4492,0.004176036
2019-05-21T17:45,6058,0.06820169,1423.156,0.005282271
2019-05-21T17:50,6110,0.06789044,1378.777,0.0047463174
2019-05-21T17:55,6275,0.06984315,1407.9264,0.004143426
2019-05-21T18:00,6364,0.06717227,1501.2151,0.0040854807
2019-05-21T18:05,5974,0.059645038,1438.4208,0.006528289
2019-05-21T18:10,6119,0.054511774,1446.9933,0.0039222096
2019-05-21T18:15,6350,0.06713287,1409.4111,0.0036220471
2019-05-21T18:20,6487,0.06948229,1500.3649,0.0058578695
2019-05-21T18:25,6419,0.06631097,1527.5966,0.0054525626
2019-05-21T18:30,6501,0.07417028,1378.4768,0.005076142
2019-05-21T18:35,6674,0.060984753,1374.3348,0.0052442313
2019-05-21T18:40,7116,0.061003163,1375.5824,0.00435638
2019-05-21T18:45,7314,0.0677212,1346.767,0.0027344818
2019-05-21T18:50,7073,0.06864878,1398.0511,0.0045242473
2019-05-21T18:55,7245,0.06712062,1447.743,0.0057971017
2019-05-21T19:00,7394,0.070866145,1489.7943,0.004463078
2019-05-21T19:05,7685,0.07424442,1519.1084,0.0045543266
2019-05-21T19:10,7644,0.06153846,1409.9447,0.005363684
2019-05-21T19:15,7712,0.063739695,1456.5312,0.00531639
2019-05-21T19:20,8023,0.063148595,1499.2777,0.0044870996
2019-05-21T19:25,8012,0.07356322,1433.8627,0.005741388
2019-05-21T19:30,8197,0.067768596,1539.8857,0.0047578383
2019-05-21T19:35,8565,0.062723674,1550.1234,0.0052539404
2019-05-21T19:40,8384,0.0680286,1498.9504,0.0046517174
2019-05-21T19:45,8995,0.0627373,1477.7504,0.0050027794
2019-05-21T19:50,9089,0.064201236,1546.9705,0.0037407856
2019-05-21T19:55,9443,0.07526882,1538.923,0.0052949274
2019-05-21T20:00,9686,0.067625664,1526.9198,0.005471815
2019-05-21T20:05,9929,0.07504138,1501.8148,0.0058414745
2019-05-21T20:10,10357,0.069322035,1533.7345,0.0044414406
2019-05-21T20:15,11042,0.07675289,1535.5309,0.0064299945
2019-05-21T20:20,10870,0.08110831,1572.3303,0.007451702
2019-05-21T20:25,11663,0.07602339,1536.6643,0.006602075
2019-05-21T20:30,12023,0.0752226,1518.3225,0.005739
2019-05-21T20:35,12017,0.07392473,1489.2219,0.0056586503
2019-05-21T20:40,11229,0.08309085,1530.5504,0.0061448035
2019-05-21T20:45,11502,0.07258577,1571.084,0.0060858983
2019-05-21T20:50,11551,0.072670534,1519.6279,0.004415202
2019-05-21T20:55,11997,0.06964286,1511.4247,0.0038342918
2019-05-21T21:00,12104,0.07522698,1539.0958,0.004378718
2019-05-21T21:05,12477,0.0630452,1536.0051,0.005450028
2019-05-21T21:10,12406,0.06383533,1480.295,0.004110914
2019-05-21T21:15,12645,0.06702853,1471.052,0.0049031237
2019-05-21T21:20,12512,0.06802548,1502.873,0.0062340153
2019-05-21T21:25,13331,0.06428746,1494.6647,0.005175906
2019-05-21T21:30,13321,0.06444526,1440.5817,0.0060806246
2019-05-21T21:35,13564,0.06648065,1419.985,0.0038336774
2019-05-21T21:40,13194,0.05734903,1415.9269,0.004092769
2019-05-21T21:45,12923,0.067896284,1427.273,0.0054940805
2019-05-21T21:50,13054,0.060606062,1423.636,0.0049027116
2019-05-21T21:55,13239,0.066534914,1416.4937,0.0046075988
2019-05-21T22:00,13142,0.063533835,1472.0363,0.003804596
2019-05-21T22:05,12987,0.07441792,1431.0382,0.0046200044
2019-05-21T22:10,12410,0.07254034,1429.4569,0.0041901693
2019-05-21T22:15,12525,0.073839985,1416.4559,0.0043912176
2019-05-21T22:20,12140,0.072092324,1437.9331,0.005107084
2019-05-21T22:25,11814,0.06896552,1358.0165,0.0050787204
2019-05-21T22:30,11905,0.0753221,1399.7201,0.0028559428
2019-05-21T22:35,11583,0.07323944,1386.7726,0.0057843393
2019-05-21T22:40,11028,0.06748366,1400.7374,0.0035364528
2019-05-21T22:45,10882,0.06145727,1353.2823,0.004227164
2019-05-21T22:50,10511,0.06926864,1374.3059,0.0032347066
2019-05-21T22:55,10290,0.070005484,1342.0978,0.0034013605
2019-05-21T23:00,10115,0.07069929,1334.7672,0.002471577
2019-05-21T23:05,9724,0.068369195,1332.1423,0.0033936652
2019-05-21T23:10,9220,0.061687034,1384.0573,0.004121475
2019-05-21T23:15,8711,0.067360684,1414.8495,0.003903111
2019-05-21T23:20,8495,0.07368666,1354.3297,0.0043555032
2019-05-21T23:25,7952,0.06618335,1329.6986,0.0038983903
2019-05-21T23:30,7668,0.069931835,1290.4867,0.0032603026
2019-05-21T23:35,7389,0.065847926,1269.2212,0.0028420626
2019-05-21T23:40,7475,0.06282853,1330.6449,0.0037458194
2019-05-21T23:45,7396,0.06987129,1317.8854,0.0025689562
2019-05-21T23:50,7099,0.061154857,1279.4526,0.003239893
2019-05-21T23:55,6828,0.067983076,1282.6116,0.0033684827
2019-05-22T00:00,6347,0.063963965,1275.6227,0.0023633211
2019-05-22T00:05,6514,0.062099695,1270.6656,0.0044519496
2019-05-22T00:10,5995,0.062282644,1293.2592,0.0036697248
2019-05-22T00:15,5640,0.07447155,1301.1606,0.005141844
2019-05-22T00:20,5297,0.063486494,1324.8756,0.0028317915
2019-05-22T00:25,5419,0.07157534,1196.787,0.0029525743
2019-05-22T00:30,5274,0.07245283,1307.2485,0.002844141
2019-05-22T00:35,4944,0.060971156,1286.5576,0.0030339805
2019-05-22T00:40,4792,0.06221374,1330.8212,0.0050083473
2019-05-22T00:45,4688,0.06611258,1225.1501,0.004052901
2019-05-22T00:50,4513,0.069622874,1195.5256,0.002437403
2019-05-22T00:55,4358,0.052293185,1215.1721,0.0025240937
2019-05-22T01:00,3993,0.06663782,1362.463,0.006511395
2019-05-22T01:05,4050,0.06556581,1171.9205,0.0022222223
2019-05-22T01:10,3855,0.061340943,1339.1754,0.0036316472
2019-05-22T01:15,3618,0.056678165,1390.0746,0.0044223326
2019-05-22T01:20,3490,0.052766394,1306.1346,0.0031518624
2019-05-22T01:25,3268,0.048648648,1218.0847,0.0036719707
2019-05-22T01:30,3263,0.052884616,1267.803,0.003371131
2019-05-22T01:35,3053,0.054084506,1240.2335,0.00294792
2019-05-22T01:40,3060,0.053107344,1197.18,0.0029411765
2019-05-22T01:45,2845,0.05638872,1216.8738,0.0031634446
2019-05-22T01:50,2769,0.04542505,1287.29,0.0061394004
2019-05-22T01:55,2650,0.045733787,1157.4388,0.003018868
2019-05-22T02:00,2483,0.04905914,1247.5026,0.0012082158
2019-05-22T02:05,2743,0.049056605,1291.5027,3.6456436E-4
2019-05-22T02:10,2950,0.04868914,1142.5925,0.0040677967
2019-05-22T02:15,3147,0.04785581,1108.4652,0.0022243406
2019-05-22T02:20,3143,0.041509435,981.7741,0.0012726694
2019-05-22T02:25,3012,0.039498433,1078.835,0.004316069
2019-05-22T02:30,2945,0.046290424,1039.4893,0.0020373515
2019-05-22T02:35,3076,0.054205608,1114.55,0.0026007802
2019-05-22T02:40,3466,0.041301627,1071.88,0.0031736873
2019-05-22T02:45,3599,0.04489796,1064.4984,0.0025006947
2019-05-22T02:50,3449,0.034289278,932.1928,0.002319513
2019-05-22T02:55,3403,0.032919254,1010.6077,0.0035263004
2019-05-22T03:00,3371,0.03260188,880.1056,0.0014832393
2019-05-22T03:05,3138,0.04144385,951.52454,0.0015933716
2019-05-22T03:10,3255,0.038367845,1068.9994,0.0015360983
2019-05-22T03:15,3244,0.034759358,1059.0271,0.0033908754
2019-05-22T03:20,3229,0.034813926,990.9594,3.096934E-4
2019-05-22T03:25,3322,0.046558704,947.7649,0.0027092113
2019-05-22T03:30,3320,0.038610037,958.1946,0.0072289156
2019-05-22T03:35,3266,0.04534005,1128.0873,0.0027556645
2019-05-22T03:40,3305,0.033577535,955.859,0.0033282905
2019-05-22T03:45,3323,0.027617212,904.8279,0.0015046644
2019-05-22T03:50,3349,0.036262203,1007.57184,0.0038817558
2019-05-22T03:55,3241,0.036848795,970.60754,0.0030854675
2019-05-22T04:00,3427,0.037926674,1001.26,0.0032098044
2019-05-22T04:05,3618,0.042986427,1036.6086,0.0024875621
2019-05-22T04:10,3637,0.036858007,961.24414,0.0035743746
2019-05-22T04:15,3754,0.0405562,948.27997,0.0015982952
2019-05-22T04:20,3693,0.034777652,966.67395,0.0027078255
2019-05-22T04:25,3743,0.032619774,969.2332,0.0045418115
2019-05-22T04:30,3992,0.033766232,1032.3993,0.0022545091
2019-05-22T04:35,4213,0.03270565,978.33655,0.003085687
2019-05-22T04:40,4463,0.034272302,1035.8911,0.0044812905
2019-05-22T04:45,4611,0.03929727,1094.3544,0.0030362178
2019-05-22T04:50,4896,0.03670121,996.9026,0.0051062093
2019-05-22T04:55,4925,0.03591519,981.4004,0.004467005
2019-05-22T05:00,5151,0.030290456,899.0503,0.0038827413
2019-05-22T05:05,5514,0.03970528,1022.18536,0.0070729055
2019-05-22T05:10,6054,0.03983308,984.2364,0.0031384209
2019-05-22T05:15,6059,0.043118935,952.0649,0.004291137
2019-05-22T05:20,6443,0.03638814,878.24243,0.003724973
2019-05-22T05:25,7024,0.034749035,925.91644,0.006548975
2019-05-22T05:30,7136,0.034471437,878.01794,0.0036434978
2019-05-22T05:35,7160,0.04054917,969.5478,0.0043296088
2019-05-22T05:40,7472,0.043062203,892.69434,0.0030781585
2019-05-22T05:45,8050,0.035236273,906.20984,0.0039751553
2019-05-22T05:50,8258,0.03878822,857.2886,0.0037539357
2019-05-22T05:55,8179,0.043226145,914.9321,0.004034723
2019-05-22T06:00,8535,0.04876161,928.97034,0.0046865847
2019-05-22T06:05,8578,0.03723798,956.60175,0.0041967826
2019-05-22T06:10,8705,0.041167274,932.3287,0.004020678
2019-05-22T06:15,8871,0.04266931,923.3288,0.0041708937
2019-05-22T06:20,9060,0.047688212,961.2934,0.0036423842
2019-05-22T06:25,9067,0.036227223,974.36206,0.004742473
2019-05-22T06:30,8943,0.039556563,914.3978,0.004137314
2019-05-22T06:35,9095,0.04188862,1002.58936,0.004398021
2019-05-22T06:40,9098,0.04313253,965.9758,0.0034073424
2019-05-22T06:45,9248,0.0441247,935.57733,0.0041089966
2019-05-22T06:50,9280,0.03785338,944.02716,0.0035560345
2019-05-22T06:55,9219,0.04576551,960.1651,0.0036880355
2019-05-22T07:00,9451,0.036764707,936.8497,0.003491694
2019-05-22T08:00,10,0.0,1368.3,0.0
2019-05-22T08:05,7468,0.045506913,1024.7731,0.0037493305
2019-05-22T08:10,7370,0.040947646,949.3601,0.0024423338
2019-05-22T08:15,7408,0.045821324,1023.33246,0.0048596114
2019-05-22T08:20,7195,0.044250544,1116.3795,0.0025017373
2019-05-22T08:25,7098,0.04836722,1054.0082,0.0030994646
2019-05-22T08:30,7337,0.046875,1052.2013,0.002180728
2019-05-22T08:35,7446,0.04839169,1129.3431,0.0030889069
2019-05-22T08:40,7444,0.045904342,1041.38,0.0025523913
2019-05-22T08:45,7681,0.045095827,1028.141,0.005077464
2019-05-22T08:50,7544,0.043659043,937.02014,0.0026511136
2019-05-22T08:55,7391,0.048773363,1004.4619,0.0024353943
2019-05-22T09:00,7487,0.052088987,1044.6256,0.0038733806
2019-05-22T09:05,7591,0.043793585,1020.7471,0.0031616387
2019-05-22T09:10,7461,0.05005787,1055.5896,0.002278515
2019-05-22T09:15,7775,0.049262457,1069.8048,0.0029581992
2019-05-22T09:20,7724,0.041429732,1043.7222,0.0023303987
2019-05-22T09:25,7729,0.050716333,1066.5542,0.0037521024
2019-05-22T09:30,7757,0.04783217,1110.2827,0.0025783163
2019-05-22T09:35,7881,0.04686618,1047.2062,0.0024108617
2019-05-22T09:40,7553,0.046427578,1040.4441,0.0022507613
2019-05-22T09:45,7707,0.047398843,1050.1633,0.003762813
2019-05-22T09:50,8188,0.051457975,1032.2902,0.0030532486
2019-05-22T09:55,8025,0.042971782,1079.6342,0.0022429908
2019-05-22T10:00,7857,0.048945148,1066.535,0.0034364262
2019-05-22T10:05,7912,0.047733977,1026.0358,0.0035389282
2019-05-22T10:10,7865,0.047592696,1099.4946,0.002415766
2019-05-22T10:15,8031,0.050881613,1047.1917,0.00298842
2019-05-22T10:20,8245,0.05191257,1056.9851,0.004002426
2019-05-22T10:25,8307,0.0422275,1001.88275,0.0019260864
2019-05-22T10:30,8769,0.05057415,1025.9854,0.0041053714
2019-05-22T10:35,8627,0.050494798,1016.6897,0.0025501333
2019-05-22T10:40,9038,0.052096255,1027.3418,0.0032086745
2019-05-22T10:45,9010,0.049694,1046.0231,0.002552719
2019-05-22T10:50,8655,0.050103307,1034.351,0.0027729636
2019-05-22T10:55,8587,0.042537127,1050.5747,0.0030278328
2019-05-22T11:00,9065,0.04399407,1010.43915,0.0025372312
2019-05-22T11:05,8915,0.044137932,1077.5114,0.0028042626
2019-05-22T11:10,9281,0.051101733,1044.8751,0.0035556513
2019-05-22T11:15,9927,0.044976506,1033.2861,0.0026191196
2019-05-22T11:20,10231,0.03924915,1055.8187,0.001857101
2019-05-22T11:25,10175,0.044303797,1061.0093,0.002948403
2019-05-22T11:30,9830,0.049039546,1098.2548,0.0032553407
2019-05-22T11:35,9713,0.04225674,1044.3527,0.0028827344
2019-05-22T11:40,10324,0.039612304,1090.4904,0.002421542
2019-05-22T11:45,10596,0.047669493,1097.6964,0.002453756
2019-05-22T11:50,10960,0.046235923,1083.3517,0.0026459855
2019-05-22T11:55,11254,0.047255814,1180.963,0.00328772
2019-05-22T12:00,11566,0.047997046,1117.2574,0.0037177936
2019-05-22T12:05,11859,0.05196523,1128.5133,0.0027826966
2019-05-22T12:10,12109,0.042752292,1073.83,0.0028078288
2019-05-22T12:15,12283,0.04517965,1147.801,0.0028494666
2019-05-22T12:20,13257,0.047788758,1131.4865,0.002941842
2019-05-22T12:25,13108,0.049413003,1118.719,0.0028227037
2019-05-22T12:30,13434,0.043629467,1100.7446,0.0025308917
2019-05-22T12:35,14329,0.0465625,1131.6089,0.001674925
2019-05-22T12:40,13984,0.04475096,1111.5323,0.00243135
2019-05-22T12:45,14296,0.050162867,1086.6492,0.0021684386
2019-05-22T12:50,14035,0.045728803,1026.4205,0.001923762
2019-05-22T12:55,14528,0.04236078,1001.692,0.0031662995
2019-05-22T13:00,14448,0.04781124,994.389,0.0019379845
2019-05-22T13:05,14000,0.047251847,1076.9917,0.0022142858
2019-05-22T13:10,13436,0.0477182,1036.1101,0.001711819
2019-05-22T13:15,13129,0.05344585,1040.8812,0.0015995125
2019-05-22T13:20,13246,0.047121346,1044.5665,0.0017363733
2019-05-22T13:25,13361,0.04638638,1049.3293,0.0026195643
2019-05-22T13:30,12850,0.044208664,1050.3275,0.0028015564
2019-05-22T13:35,12847,0.0479798,1033.6029,0.0036584416
2019-05-22T13:40,12734,0.04312419,1001.35645,0.0021203079
2019-05-22T13:45,12195,0.048434157,1034.3042,0.0017220172
2019-05-22T13:50,11742,0.047949277,1034.9996,0.002299438
2019-05-22T13:55,10471,0.04160569,1071.9081,0.002769554
2019-05-22T14:00,10175,0.044005103,1035.7865,0.0022604424
2019-05-22T14:05,9870,0.04808529,1081.8931,0.0028368793
2019-05-22T14:10,9362,0.051135007,1114.3054,0.0025635548
2019-05-22T14:15,9426,0.047528517,1096.0162,0.0021217908
2019-05-22T14:20,8886,0.04931507,1122.2323,0.0027008778
2019-05-22T14:25,8984,0.043652665,1021.74164,0.0027827248
2019-05-22T14:30,8771,0.04753861,1075.3882,0.00273629
2019-05-22T14:35,9052,0.043468047,1069.305,0.0015466196
2019-05-22T14:40,9509,0.052493438,1024.1985,0.0034703964
2019-05-22T14:45,9577,0.051088203,1028.882,0.0021927534
2019-05-22T14:50,9947,0.043507364,1064.655,0.0016085252
2019-05-22T14:55,10141,0.049010366,1065.9413,0.0024652402
2019-05-22T15:00,10014,0.037553407,975.59784,0.0011983224
2019-05-22T15:05,10469,0.050091073,1034.8926,0.0019104021
2019-05-22T15:10,10571,0.049881745,1015.123,0.0029325513
2019-05-22T15:15,10197,0.043488372,1025.475,0.0020594292
2019-05-22T15:20,10188,0.044266056,1029.491,0.0024538673
2019-05-22T15:25,9993,0.04620541,976.50604,0.0017011908
2019-05-22T15:30,10212,0.046298366,1035.4359,0.0024481004
2019-05-22T15:35,10149,0.041536402,1024.8107,0.0016750419
2019-05-22T15:40,9970,0.039391227,995.23,0.0017051153
2019-05-22T15:45,10121,0.04567846,1070.7905,0.0021736983
2019-05-22T15:50,9631,0.039102267,1030.8422,0.001661302
2019-05-22T15:55,9770,0.043172006,998.30237,0.00296827
2019-05-22T16:00,9916,0.04500331,1006.9946,0.0027228722
2019-05-22T16:05,10012,0.045815803,1046.6451,0.0025968838
2019-05-22T16:10,9602,0.047911257,1047.1344,0.0019787545
2019-05-22T16:15,9554,0.044979334,1060.9862,0.0027213732
2019-05-22T16:20,9420,0.045730285,1077.527,0.0031847134
2019-05-22T16:25,9789,0.05263158,1044.675,0.0034732863
2019-05-22T16:30,9113,0.048972342,1003.6779,0.0036212006
2019-05-22T16:35,9497,0.04274134,1025.6761,0.001790039
2019-05-22T16:40,8668,0.04990709,1109.1853,0.002538071
2019-05-22T16:45,7363,0.044399884,1093.2817,0.0017655847
2019-05-22T16:50,6402,0.055520102,1265.607,0.0045298343
2019-05-22T16:55,6082,0.050446015,1225.0508,0.004932588
2019-05-22T17:00,5758,0.05008839,1333.8538,0.0043417853
2019-05-22T17:05,5830,0.05800679,1317.0563,0.0039451113
2019-05-22T17:10,5941,0.056900345,1311.9291,0.0037030804
2019-05-22T17:15,5802,0.052677788,1260.0883,0.0055153393
2019-05-22T17:20,6026,0.057151232,1322.4857,0.005642217
2019-05-22T17:25,5848,0.05638525,1251.6353,0.00376197
2019-05-22T17:30,5754,0.054561716,1235.9467,0.0046923878
2019-05-22T17:35,5926,0.047219895,1297.5734,0.0025312183
2019-05-22T17:40,6109,0.056824513,1377.7545,0.0027827795
2019-05-22T17:45,6450,0.06014823,1393.7496,0.0035658914
2019-05-22T17:50,6325,0.056977704,1379.6776,0.0052173915
2019-05-22T17:55,6335,0.068443194,1315.1276,0.0044198893
2019-05-22T18:00,6547,0.05688546,1348.9788,0.0035130593
2019-05-22T18:05,6403,0.055226292,1273.7261,0.0040605967
2019-05-22T18:10,6501,0.056179777,1379.7217,0.0058452548
2019-05-22T18:15,6475,0.050771527,1303.7141,0.0052509652
2019-05-22T18:20,6736,0.062111802,1394.3997,0.005344418
2019-05-22T18:25,6772,0.06348387,1345.092,0.0045776726
2019-05-22T18:30,6627,0.06189451,1345.7477,0.00558322
2019-05-22T18:35,6783,0.066189624,1441.1216,0.004865104
2019-05-22T18:40,7306,0.060451567,1419.5049,0.004243088
2019-05-22T18:45,7361,0.06254528,1377.6234,0.00366798
2019-05-22T18:50,7317,0.06660208,1344.6353,0.005740057
2019-05-22T18:55,7510,0.06499051,1464.5184,0.0046604527
2019-05-22T19:00,7528,0.06936697,1429.5769,0.0045164716
2019-05-22T19:05,7590,0.0656542,1443.1418,0.0036890646
2019-05-22T19:10,7902,0.06147913,1458.5715,0.0051885596
2019-05-22T19:15,7960,0.06081548,1482.4827,0.0033919597
2019-05-22T19:20,8128,0.060461957,1519.4778,0.004675197
2019-05-22T19:25,8505,0.06589645,1496.7993,0.0047031157
2019-05-22T19:30,8628,0.067760944,1447.1709,0.0041724616
2019-05-22T19:35,8701,0.06292552,1431.2599,0.004482243
2019-05-22T19:40,8999,0.06067281,1504.6107,0.0046671852
2019-05-22T19:45,8932,0.06822853,1501.0818,0.0052619795
2019-05-22T19:50,9446,0.06966967,1510.4166,0.004022867
2019-05-22T19:55,9486,0.068887204,1532.7814,0.006008855
2019-05-22T20:00,10065,0.06340418,1529.6683,0.005067064
2019-05-22T20:05,10245,0.06529752,1562.1876,0.0050756466
2019-05-22T20:10,10579,0.06471854,1433.1472,0.0055770865
2019-05-22T20:15,10934,0.068087235,1397.6118,0.005396012
2019-05-22T20:20,11626,0.07223891,1382.7394,0.004644762
2019-05-22T20:25,11867,0.06931964,1391.2175,0.0028650882
2019-05-22T20:30,12187,0.067242734,1438.2151,0.004677115
2019-05-22T20:35,12327,0.06510107,1448.663,0.004461751
2019-05-22T20:40,12139,0.06588019,1428.0037,0.004695609
2019-05-22T20:45,12142,0.065064915,1452.6011,0.0041179378
2019-05-22T20:50,12489,0.06579335,1454.1926,0.00512451
2019-05-22T20:55,12658,0.07143936,1513.9747,0.0041870754
2019-05-22T21:00,12790,0.07924637,1474.492,0.0045347926
2019-05-22T21:05,12992,0.076719575,1475.4504,0.0053109606
2019-05-22T21:10,12956,0.07101365,1429.5029,0.0052485336
2019-05-22T21:15,13310,0.07162181,1496.2368,0.0051089404
2019-05-22T21:20,13545,0.062951356,1436.7014,0.004355851
2019-05-22T21:25,14023,0.07081366,1426.6967,0.004492619
2019-05-22T21:30,14060,0.070659675,1494.1217,0.0039829304
2019-05-22T21:35,14202,0.070316695,1384.4337,0.00457682
2019-05-22T21:40,14261,0.07101702,1423.0414,0.0041371575
2019-05-22T21:45,14128,0.07139001,1394.9556,0.0051670442
2019-05-22T21:50,14217,0.057881918,1407.9633,0.005205036
2019-05-22T21:55,14184,0.06591618,1429.1562,0.0037366047
2019-05-22T22:00,14094,0.06818182,1428.8304,0.0033347523
2019-05-22T22:05,14049,0.063566096,1439.1094,0.0054096375
2019-05-22T22:10,13709,0.06380084,1407.6469,0.0051790792
2019-05-22T22:15,13594,0.065618694,1411.4238,0.00434015
2019-05-22T22:20,13390,0.06597273,1417.5231,0.005601195
2019-05-22T22:25,13243,0.062937066,1359.0208,0.0054368344
2019-05-22T22:30,13038,0.068870924,1355.9891,0.0047553307
2019-05-22T22:35,12631,0.06113229,1315.5032,0.0041960254
2019-05-22T22:40,12119,0.07511342,1356.9086,0.0036306626
2019-05-22T22:45,11933,0.05898039,1316.8911,0.003687254
2019-05-22T22:50,11395,0.059980173,1241.435,0.0051777097
2019-05-22T22:55,11028,0.06110359,1320.2971,0.0034457743
2019-05-22T23:00,10891,0.06787164,1306.1201,0.0034891195
2019-05-22T23:05,10271,0.06988321,1314.586,0.004089183
2019-05-22T23:10,10006,0.06026828,1320.2534,0.0036977814
